id,uir_adr_ADRESA_KOD,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,lat,lon,id_cons,addr_conscription,wd_cons
296494801,21717991,11000,291,24,Konviktská,291/24,50.0834764,14.4172084,428812,Staré Město,Q748211
296494996,21722021,11000,592,23,Celetná,592/23,50.0872278,14.4254184,428812,Staré Město,Q748211
296495043,21726931,11000,1048,5,Platnéřská,1048/5,50.0874328,14.4148406,428812,Staré Město,Q748211
296495446,21717010,11000,222,3,Řetězová,222/3,50.0853503,14.4169924,428812,Staré Město,Q748211
296495797,21720274,11000,467,7,Melantrichova,467/7,50.0854199,14.4209115,428812,Staré Město,Q748211
296495821,21717176,11000,234,8,Husova,234/8,50.0853138,14.4183811,428812,Staré Město,Q748211
296495995,21721581,11000,556,9,Kamzíková,556/9,50.0866038,14.4228024,428812,Staré Město,Q748211
296496079,21720266,11000,466,9,Melantrichova,466/9,50.0854672,14.4208308,428812,Staré Město,Q748211
296496110,21724491,11000,772,12,Hradební,772/12,50.0918105,14.4270764,428812,Staré Město,Q748211
296496224,21715521,11000,90,13,Platnéřská,90/13,50.0873197,14.4162309,428812,Staré Město,Q748211
296496876,21715670,11000,100,2,Na Františku,100/2,50.092553,14.4194703,428812,Staré Město,Q748211
296497069,21721734,11000,566,28,Celetná,566/28,50.0871025,14.4249178,428812,Staré Město,Q748211
296497205,21725471,11000,909,6,V kolkovně,909/6,50.0898427,14.4216397,428812,Staré Město,Q748211
296497604,21719284,11000,390,5,Na příkopě,390/5,50.0846611,14.4239041,428812,Staré Město,Q748211
296497750,21717478,11000,257,19,Konviktská,257/19,50.0838625,14.4173656,428812,Staré Město,Q748211
296497781,21715068,11000,40,6,Žatecká,40/6,50.0879172,14.4178523,428812,Staré Město,Q748211
296498017,21722714,11000,639,4,Týnská,639/4,50.0880359,14.4230886,428812,Staré Město,Q748211
296498065,21725993,11000,958,25,Na příkopě,958/25,50.0860584,14.4261083,428812,Staré Město,Q748211
296498091,21721882,11000,583,15,Na příkopě,583/15,50.0853219,14.424819,428812,Staré Město,Q748211
296498372,21727155,11000,1067,8,Pařížská,1067/8,50.0886843,14.4200581,428812,Staré Město,Q748211
296498574,21718989,11000,364,39,Národní,364/39,50.0828942,14.4209724,428812,Staré Město,Q748211
296498803,21721106,11000,527,2,Jilská,527/2,50.0841009,14.4185232,428812,Staré Město,Q748211
296499067,21720410,11000,478,22,Melantrichova,478/22,50.0864895,14.4207603,428812,Staré Město,Q748211
296499280,21716048,11000,150,42,Karlova,150/42,50.0860448,14.4184363,428812,Staré Město,Q748211
296499366,21725624,11000,921,3,V kolkovně,921/3,50.0895454,14.4218911,428812,Staré Město,Q748211
296499516,21716196,11000,161,32,Karlova,161/32,50.086034,14.4177341,428812,Staré Město,Q748211
296499895,21718997,11000,365,43,Národní,365/43,50.0830611,14.4215375,428812,Staré Město,Q748211
296500150,21724199,11000,754,8,Haštalské náměstí,754/8,50.0912327,14.4249583,428812,Staré Město,Q748211
296500254,21718300,11000,316,5,Krocínova,316/5,50.0822145,14.4146434,428812,Staré Město,Q748211
296500335,21722412,11000,618,14,Dlouhá,618/14,50.089146,14.4227101,428812,Staré Město,Q748211
296500527,21724342,11000,763,15,Revoluční,763/15,50.0913268,14.4274359,428812,Staré Město,Q748211
296500760,21724865,11000,804,14,U milosrdných,804/14,50.0918147,14.4224074,428812,Staré Město,Q748211
296500813,21722561,11000,629,3,Týnská,629/3,50.0879036,14.4225399,428812,Staré Město,Q748211
296501067,21726442,11000,1006,5,Revoluční,1006/5,50.0900815,14.4277437,428812,Staré Město,Q748211
296501084,21723362,11000,695,23,Masná,695/23,50.0898683,14.4257438,428812,Staré Město,Q748211
296501106,21725772,11000,932,6,Salvátorská,932/6,50.0887714,14.4206319,428812,Staré Město,Q748211
296501117,21724717,11000,794,4,U obecního dvora,794/4,50.0910172,14.423241,428812,Staré Město,Q748211
296501209,21721408,11000,542,4,Kamzíková,542/4,50.0864901,14.4228719,428812,Staré Město,Q748211
296501230,21720568,11000,488,10,Železná,488/10,50.0865945,14.4217746,428812,Staré Město,Q748211
296501653,21727015,11000,1053,21,Týnská,1053/21,50.0888392,14.4239607,428812,Staré Město,Q748211
296501755,21720801,11000,509,10,Michalská,509/10,50.0849342,14.4201408,428812,Staré Město,Q748211
296501789,21724644,11000,789,4,Haštalské náměstí,789/4,50.0915762,14.4240363,428812,Staré Město,Q748211
296501952,21720126,11000,455,48,Karlova,455/48,50.086255,14.4190684,428812,Staré Město,Q748211
296502417,21720959,11000,517,14,Havelská,517/14,50.0848221,14.4212614,428812,Staré Město,Q748211
296502447,21724792,11000,799,7,U obecního dvora,799/7,50.0912537,14.4230426,428812,Staré Město,Q748211
296502540,21715742,11000,113,6,U staré školy,113/6,50.0907458,14.4210983,428812,Staré Město,Q748211
296502566,21722269,11000,606,11,Staroměstské náměstí,606/11,50.0880193,14.4215686,428812,Staré Město,Q748211
296503473,21725012,11000,847,8,Na Františku,847/8,50.0927706,14.4215118,428812,Staré Město,Q748211
296503922,21726868,11000,1044,23,Revoluční,1044/23,50.0920107,14.427289,428812,Staré Město,Q748211
296504703,21723664,11000,722,11,Benediktská,722/11,50.090333,14.427152,428812,Staré Město,Q748211
296504869,21717621,11000,268,3,U Dobřenských,268/3,50.0840312,14.4155596,428812,Staré Město,Q748211
296505113,21725161,11000,858,13,Kozí,858/13,50.0909322,14.4221451,428812,Staré Město,Q748211
296505286,21721254,11000,535,15,Rytířská,535/15,50.084501,14.4213834,428812,Staré Město,Q748211
296505310,21722838,11000,646,7,Štupartská,646/7,50.0877282,14.4242264,428812,Staré Město,Q748211
296505582,21718237,11000,312,6,Bartolomějská,312/6,50.0825693,14.4168344,428812,Staré Město,Q748211
296505834,21718601,11000,336,,Střelecký ostrov,336,50.0805735,14.4101567,428812,Staré Město,Q748211
296505878,21716421,11000,185,10,Karlova,185/10,50.0859204,14.4152879,428812,Staré Město,Q748211
296506552,21722820,11000,646,1,Malá Štupartská,646/1,50.0878381,14.4244427,428812,Staré Město,Q748211
296506588,21718458,11000,324,29,Karoliny Světlé,324/29,50.0837812,14.414232,428812,Staré Město,Q748211
296507084,21723273,11000,687,4,Benediktská,687/4,50.0897435,14.4266233,428812,Staré Město,Q748211
296507113,21727309,11000,1078,33,Celetná,1078/33,50.0873485,14.4271147,428812,Staré Město,Q748211
296507369,21716412,11000,185,7,Anenská,185/7,50.0854953,14.4153549,428812,Staré Město,Q748211
296507450,21718750,11000,350,17,Na Perštýně,350/17,50.0840276,14.4182048,428812,Staré Město,Q748211
296507466,21718083,11000,301,6,Karoliny Světlé,301/6,50.0821782,14.4152576,428812,Staré Město,Q748211
296507575,21723966,11000,738,4,Rámová,738/4,50.0902409,14.4241215,428812,Staré Město,Q748211
296507713,21717257,11000,241,7,Husova,241/7,50.085031,14.4181595,428812,Staré Město,Q748211
296507727,21723125,11000,669,4,Rybná,669/4,50.0882059,14.4262402,428812,Staré Město,Q748211
296508362,21719438,11000,399,11,Provaznická,399/11,50.0852457,14.4239673,428812,Staré Město,Q748211
296508557,21722978,11000,655,1,Revoluční,655/1,50.0895299,14.4278811,428812,Staré Město,Q748211
296508834,21718865,11000,355,2,Skořepka,355/2,50.0837526,14.4186868,428812,Staré Město,Q748211
296508938,21719543,11000,406,10,Rytířská,406/10,50.0842781,14.4216494,428812,Staré Město,Q748211
296509111,21719845,11000,432,12,Michalská,432/12,50.0852843,14.4199954,428812,Staré Město,Q748211
296509284,21716455,11000,187,6,Karlova,187/6,50.0859324,14.4149392,428812,Staré Město,Q748211
296509794,21723613,11000,716,24,Rybná,716/24,50.0902799,14.4259963,428812,Staré Město,Q748211
296509915,21715602,11000,96,4,Veleslavínova,96/4,50.0877612,14.4157838,428812,Staré Město,Q748211
296510099,21725870,11000,943,19,Haštalská,943/19,50.09136,14.425745,428812,Staré Město,Q748211
296510149,21719993,11000,445,1,Vejvodova,445/1,50.0845429,14.4191702,428812,Staré Město,Q748211
296510488,21720363,11000,476,3,Kožná,476/3,50.086211,14.421236,428812,Staré Město,Q748211
296510525,21718415,11000,322,24,Divadelní,322/24,50.083351,14.4139488,428812,Staré Město,Q748211
296511211,21725047,11000,849,6,U milosrdných,849/6,50.091646,14.4211174,428812,Staré Město,Q748211
296511660,21718032,11000,294,18,Konviktská,294/18,50.0833388,14.4164126,428812,Staré Město,Q748211
296511682,21718563,11000,331,8,Smetanovo nábřeží,331/8,50.0835968,14.4134448,428812,Staré Město,Q748211
296511982,21720827,11000,510,8,Michalská,510/8,50.0848288,14.4200787,428812,Staré Město,Q748211
296512000,21722781,11000,643,8,Týn,643/8,50.087939,14.4239416,428812,Staré Město,Q748211
296512239,21722935,11000,652,4,Králodvorská,652/4,50.0877486,14.4265073,428812,Staré Město,Q748211
296512401,21720142,11000,457,13,Malé náměstí,457/13,50.0863493,14.419436,428812,Staré Město,Q748211
296512527,21727368,11000,1081,16,Králodvorská,1081/16,50.0888769,14.4278742,428812,Staré Město,Q748211
296513130,21725195,11000,860,7,Vězeňská,860/7,50.0905853,14.4219509,428812,Staré Město,Q748211
296513585,21723231,11000,685,2,Benediktská,685/2,50.0896755,14.4263352,428812,Staré Město,Q748211
296514186,21724598,11000,784,1,Za Haštalem,784/1,50.0915302,14.425015,428812,Staré Město,Q748211
296514284,21718717,11000,347,14,Bartolomějská,347/14,50.0831176,14.4180751,428812,Staré Město,Q748211
296514547,21727066,11000,1058,8,Skořepka,1058/8,50.0836139,14.4194782,428812,Staré Město,Q748211
296514788,21723087,11000,667,5,Králodvorská,667/5,50.0879835,14.4265981,428812,Staré Město,Q748211
