id,geom,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,id_cons,addr_conscription,wd_cons
node_1680404612,POINT(14.4027325 50.0876578),11800,261,10,Malostranské náměstí,261/10,relation_433401,Malá Strana,Q753289
node_1681021791,POINT(14.3999143 50.0872535),11800,358,7,Vlašská,358/7,relation_433401,Malá Strana,Q753289
node_296498126,POINT(14.4053930 50.0904344),11800,160,18,Valdštejnská,160/18,relation_433401,Malá Strana,Q753289
node_296454434,POINT(14.4045447 50.0840468),11800,454,46,Újezd,454/46,relation_433401,Malá Strana,Q753289
node_296483607,POINT(14.4071994 50.0875994),11800,65,14,Míšeňská,65/14,relation_433401,Malá Strana,Q753289
node_296466654,POINT(14.4105908 50.0912372),11800,610,14,U železné lávky,610/14,relation_433401,Malá Strana,Q753289
node_296503683,POINT(14.4101410 50.0897389),11800,116,48,U lužického semináře,116/48,relation_433401,Malá Strana,Q753289
node_296498891,POINT(14.4059099 50.0848246),11800,460,3,Pelclova,460/3,relation_433401,Malá Strana,Q753289
node_296483520,POINT(14.4086162 50.0855286),11800,506,4,U Sovových mlýnů,506/4,relation_433401,Malá Strana,Q753289
node_1681021782,POINT(14.4023543 50.0876490),11800,259,12,Malostranské náměstí,259/12,relation_433401,Malá Strana,Q753289
node_296484379,POINT(14.4086495 50.0913675),11800,152,6,Valdštejnská,152/6,relation_433401,Malá Strana,Q753289
node_296492357,POINT(14.4092149 50.0901106),11800,123,4,Letenská,123/4,relation_433401,Malá Strana,Q753289
node_296445448,POINT(14.4083519 50.0924938),11800,251,6,Staré zámecké schody,251/6,relation_433401,Malá Strana,Q753289
node_1083723494,POINT(14.4084909 50.0839986),11800,503,2,U Sovových mlýnů,503/2,relation_433401,Malá Strana,Q753289
node_296485798,POINT(14.4053301 50.0878965),11800,37,3,Josefská,37/3,relation_433401,Malá Strana,Q753289
node_296464821,POINT(14.4035208 50.0851939),11800,529,5,Karmelitská,529/5,relation_433401,Malá Strana,Q753289
node_2823686668,POINT(14.4102829 50.0881303),11800,635,12a,Cihelná,635/12a,relation_433401,Malá Strana,Q753289
node_296504857,POINT(14.3972236 50.0884786),11800,233,47,Nerudova,233/47,relation_433401,Malá Strana,Q753289
node_1813797277,POINT(14.4041269 50.0864810),11800,376,20,Karmelitská,376/20,relation_433401,Malá Strana,Q753289
node_296482188,POINT(14.4072316 50.0910058),11800,153,5,Staré zámecké schody,153/5,relation_433401,Malá Strana,Q753289
node_2823686669,POINT(14.4101140 50.0882297),11800,635,2a,Cihelná,635/2a,relation_433401,Malá Strana,Q753289
node_296450907,POINT(14.3976221 50.0875940),11800,335,14,Šporkova,335/14,relation_433401,Malá Strana,Q753289
node_296455392,POINT(14.4064265 50.0821850),11800,440,9,Všehrdova,440/9,relation_433401,Malá Strana,Q753289
node_296502786,POINT(14.3988651 50.0873231),11800,328,22,Vlašská,328/22,relation_433401,Malá Strana,Q753289
node_2823686667,POINT(14.4070477 50.0842796),11800,634,2a,Nosticova,634/2a,relation_433401,Malá Strana,Q753289
node_1813797281,POINT(14.4038882 50.0872628),11800,269,28,Karmelitská,269/28,relation_433401,Malá Strana,Q753289
node_2823686670,POINT(14.4077825 50.0863202),11800,636,3a,Hroznová,636/3a,relation_433401,Malá Strana,Q753289
